id;text;updateMark;updateMark_TZ
C00;TOTAL customs procedure codes;2023-06-27 13:59:10;Eastern Standard Time
C01;Clearance for home use;2023-06-27 13:59:10;Eastern Standard Time
C02;Reimportation in the same state;2023-06-27 13:59:10;Eastern Standard Time
C03;Outright exportation;2023-06-27 13:59:10;Eastern Standard Time
C04;Customs warehouses;2023-06-27 13:59:10;Eastern Standard Time
C05;Free zone;2023-06-27 13:59:10;Eastern Standard Time
C06;Inward processing;2023-06-27 13:59:10;Eastern Standard Time
C07;Outward processing;2023-06-27 13:59:10;Eastern Standard Time
C08;Drawback;2023-06-27 13:59:10;Eastern Standard Time
C09;Processing of goods for home use;2023-06-27 13:59:10;Eastern Standard Time
C10;Carriage of goods coastwise;2023-06-27 13:59:10;Eastern Standard Time
C11;Customs offences;2023-06-27 13:59:10;Eastern Standard Time
C12;Travellers;2023-06-27 13:59:10;Eastern Standard Time
C13;Postal traffic;2023-06-27 13:59:10;Eastern Standard Time
C14;Stores;2023-06-27 13:59:10;Eastern Standard Time
C15;Relief consignments;2023-06-27 13:59:10;Eastern Standard Time
C20;CPC N.E.S.;2023-06-27 13:59:10;Eastern Standard Time
