id;text;updateMark;updateMark_TZ
0;TOTAL modes of transport;2023-06-27 13:59:10;Eastern Standard Time
1000;Air;2023-06-27 13:59:10;Eastern Standard Time
2000;Water;2023-06-27 13:59:10;Eastern Standard Time
2100;Sea;2023-06-27 13:59:10;Eastern Standard Time
2200;Inland waterway;2023-06-27 13:59:10;Eastern Standard Time
2900;Water, not else classified;2023-06-27 13:59:10;Eastern Standard Time
3000;Land;2023-06-27 13:59:10;Eastern Standard Time
3100;Railway;2023-06-27 13:59:10;Eastern Standard Time
3200;Road;2023-06-27 13:59:10;Eastern Standard Time
3900;Land, not else classified;2023-06-27 13:59:10;Eastern Standard Time
9000;Not elsewhere classified;2023-06-27 13:59:10;Eastern Standard Time
9100;Pipelines and cables;2023-06-27 13:59:10;Eastern Standard Time
9110;Pipelines;2023-06-27 13:59:10;Eastern Standard Time
9120;Cables;2023-06-27 13:59:10;Eastern Standard Time
9190;Pipelines and cables, not else classified;2023-06-27 13:59:10;Eastern Standard Time
9200;Postal consignments, mail or courier shipment;2023-06-27 13:59:10;Eastern Standard Time
9300;Self propelled goods;2023-06-27 13:59:10;Eastern Standard Time
9900;Other;2023-06-27 13:59:10;Eastern Standard Time
