pk_l2;pk_l3;un_pk_l3;un_code_l3;classificationDesc;classificationType;typeCode;desc_l3;updateMark;updateMark_TZ
S-LVL02-IDX-0000;S-LVL03-IDX-0000;EBOPS 2010-S-10.1.1.1;10.1.1.1;EBOPS 2010;Services;S;Provision of customized and non-customized research and development services;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0000;S-LVL03-IDX-0001;EBOPS 2010-S-10.1.1.2;10.1.1.2;EBOPS 2010;Services;S;Sale of proprietary rights arising from research and development;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0000;S-LVL03-IDX-0002;EBOPS 2010-S-10.1.1.2.1;10.1.1.2.1;EBOPS 2010;Services;S;Patents;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0000;S-LVL03-IDX-0003;EBOPS 2010-S-10.1.1.2.2;10.1.1.2.2;EBOPS 2010;Services;S;Copyrights arising from research and development;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0000;S-LVL03-IDX-0004;EBOPS 2010-S-10.1.1.2.3;10.1.1.2.3;EBOPS 2010;Services;S;Industrial processes and designs;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0000;S-LVL03-IDX-0005;EBOPS 2010-S-10.1.1.2.4;10.1.1.2.4;EBOPS 2010;Services;S;Other;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0002;S-LVL03-IDX-0006;EBOPS 2010-S-10.2.1.1;10.2.1.1;EBOPS 2010;Services;S;Legal services;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0002;S-LVL03-IDX-0007;EBOPS 2010-S-10.2.1.2;10.2.1.2;EBOPS 2010;Services;S;Accounting, auditing, bookkeeping, and tax consulting services;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0002;S-LVL03-IDX-0008;EBOPS 2010-S-10.2.1.3;10.2.1.3;EBOPS 2010;Services;S;Business and management consulting and public relations services;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0003;S-LVL03-IDX-0009;EBOPS 2010-S-10.2.2.1;10.2.2.1;EBOPS 2010;Services;S;Of which: Convention, trade-fair and exhibition organization services;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0004;S-LVL03-IDX-0010;EBOPS 2010-S-10.3.1.1;10.3.1.1;EBOPS 2010;Services;S;Architectural services;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0004;S-LVL03-IDX-0011;EBOPS 2010-S-10.3.1.2;10.3.1.2;EBOPS 2010;Services;S;Engineering services;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0004;S-LVL03-IDX-0012;EBOPS 2010-S-10.3.1.3;10.3.1.3;EBOPS 2010;Services;S;Scientific and other technical services;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0005;S-LVL03-IDX-0013;EBOPS 2010-S-10.3.2.1;10.3.2.1;EBOPS 2010;Services;S;Waste treatment and de-pollution;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0005;S-LVL03-IDX-0014;EBOPS 2010-S-10.3.2.2;10.3.2.2;EBOPS 2010;Services;S;Services incidental to agriculture, forestry and fishing;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0005;S-LVL03-IDX-0015;EBOPS 2010-S-10.3.2.3;10.3.2.3;EBOPS 2010;Services;S;Services incidental to mining, and oil and gas extraction;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0008;S-LVL03-IDX-0016;EBOPS 2010-S-10.3.5.1;10.3.5.1;EBOPS 2010;Services;S;Of which: Employment services, i.e., search, placement and supply services of personnel;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0009;S-LVL03-IDX-0017;EBOPS 2010-S-11.1.1.a;11.1.1.a;EBOPS 2010;Services;S;Of which: Audio-visual originals;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0015;S-LVL03-IDX-0018;EBOPS 2010-S-3.1.1.a;3.1.1.a;EBOPS 2010;Services;S;Of which: Payable by border, seasonal, and other short-term workers;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0018;S-LVL03-IDX-0019;EBOPS 2010-S-3.2.1.a;3.2.1.a;EBOPS 2010;Services;S;Of which: Payable by border, seasonal, and other short-term workers;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0021;S-LVL03-IDX-0020;EBOPS 2010-S-3.3.1.a;3.3.1.a;EBOPS 2010;Services;S;Of which: Payable by border, seasonal, and other short-term workers;2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0043;S-LVL03-IDX-0021;EBOPS 2010-S-6.1.1.a;6.1.1.a;EBOPS 2010;Services;S;Gross life insurance premiums receivable (credits) and payable (debits);2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0043;S-LVL03-IDX-0022;EBOPS 2010-S-6.1.1.b;6.1.1.b;EBOPS 2010;Services;S;Gross life insurance claims receivable (credits) and payable (debits);2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0044;S-LVL03-IDX-0023;EBOPS 2010-S-6.1.2.a;6.1.2.a;EBOPS 2010;Services;S;Gross freight insurance premiums receivable (credits) and payable (debits);2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0044;S-LVL03-IDX-0024;EBOPS 2010-S-6.1.2.b;6.1.2.b;EBOPS 2010;Services;S;Gross freight insurance claims receivable (credits) and payable (debits);2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0045;S-LVL03-IDX-0025;EBOPS 2010-S-6.1.3.a;6.1.3.a;EBOPS 2010;Services;S;Gross other direct insurance premiums receivable (credits) and payable (debits);2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0045;S-LVL03-IDX-0026;EBOPS 2010-S-6.1.3.b;6.1.3.b;EBOPS 2010;Services;S;Gross other direct insurance claims receivable (credits) and payable (debits);2023-06-27 13:59:10;Eastern Standard Time
S-LVL02-IDX-0050;S-LVL03-IDX-0027;EBOPS 2010-S-9.2.1.a;9.2.1.a;EBOPS 2010;Services;S;Of which: Software originals;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0000;G-LVL03-IDX-0000;HS-C-010110;010110;HS;Goods;C;Live horses/asses/mules/hinnies: pure-bred breeding animals;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0000;G-LVL03-IDX-0001;HS-C-010111;010111;HS;Goods;C;Horses, live pure-bred breeding;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0000;G-LVL03-IDX-0002;HS-C-010119;010119;HS;Goods;C;Horses, live except pure-bred breeding;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0000;G-LVL03-IDX-0003;HS-C-010120;010120;HS;Goods;C;Asses, mules and hinnies, live;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0000;G-LVL03-IDX-0004;HS-C-010121;010121;HS;Goods;C;"Horses; live, pure-bred breeding animals";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0000;G-LVL03-IDX-0005;HS-C-010129;010129;HS;Goods;C;"Horses; live, other than pure-bred breeding animals";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0000;G-LVL03-IDX-0006;HS-C-010130;010130;HS;Goods;C;"Asses; live";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0000;G-LVL03-IDX-0007;HS-C-010190;010190;HS;Goods;C;"Mules and hinnies; live";2023-06-27 13:59:10;Eastern Standard Time
