pk_l1;un_pk_l1;un_code_l1;classificationDesc;classificationType;typeCode;desc_l1
S-LVL01-IDX-0000;EBOPS 2010-S-200;200;EBOPS 2010;Services;S;EBOPS 2010 Services
S-LVL01-IDX-0001;EBOPS 2010-S-1.1;1.1;EBOPS 2010;Services;S;Goods for processing in reporting economy — Goods returned (credits), Goods received (debits)
S-LVL01-IDX-0002;EBOPS 2010-S-1.2;1.2;EBOPS 2010;Services;S;Goods for processing abroad — Goods sent (credits), Goods returned (debits) 
S-LVL01-IDX-0003;EBOPS 2010-S-10.1;10.1;EBOPS 2010;Services;S;Research and development services
S-LVL01-IDX-0004;EBOPS 2010-S-10.2;10.2;EBOPS 2010;Services;S;Professional and management consulting services
S-LVL01-IDX-0005;EBOPS 2010-S-10.3;10.3;EBOPS 2010;Services;S;Technical, trade-related and other business services
S-LVL01-IDX-0006;EBOPS 2010-S-11.1;11.1;EBOPS 2010;Services;S;Audio-visual and related services
S-LVL01-IDX-0007;EBOPS 2010-S-11.2;11.2;EBOPS 2010;Services;S;Other personal, cultural, and recreational services
S-LVL01-IDX-0008;EBOPS 2010-S-12.1;12.1;EBOPS 2010;Services;S;Embassies and consulates
S-LVL01-IDX-0009;EBOPS 2010-S-12.2;12.2;EBOPS 2010;Services;S;Military units and agencies
S-LVL01-IDX-0010;EBOPS 2010-S-12.3;12.3;EBOPS 2010;Services;S;Other government goods and services n.i.e.
S-LVL01-IDX-0011;EBOPS 2010-S-3.1;3.1;EBOPS 2010;Services;S;Sea transport
S-LVL01-IDX-0012;EBOPS 2010-S-3.10;3.10;EBOPS 2010;Services;S;Electricity transmission
S-LVL01-IDX-0013;EBOPS 2010-S-3.11;3.11;EBOPS 2010;Services;S;Other supporting and auxiliary transport services
S-LVL01-IDX-0014;EBOPS 2010-S-3.2;3.2;EBOPS 2010;Services;S;Air transport
S-LVL01-IDX-0015;EBOPS 2010-S-3.3;3.3;EBOPS 2010;Services;S;Other modes of transport
S-LVL01-IDX-0016;EBOPS 2010-S-3.4;3.4;EBOPS 2010;Services;S;Postal and courier services
S-LVL01-IDX-0017;EBOPS 2010-S-3.5;3.5;EBOPS 2010;Services;S;Space transport
S-LVL01-IDX-0018;EBOPS 2010-S-3.6;3.6;EBOPS 2010;Services;S;Rail transport
