pk_l1;pk_l2;un_pk_l2;un_code_l2;classificationDesc;classificationType;typeCode;desc_l2
S-LVL01-IDX-0003;S-LVL02-IDX-0000;EBOPS 2010-S-10.1.1;10.1.1;EBOPS 2010;Services;S;Work undertaken on a systematic basis to increase the stock of knowledge
S-LVL01-IDX-0003;S-LVL02-IDX-0001;EBOPS 2010-S-10.1.2;10.1.2;EBOPS 2010;Services;S;Other
S-LVL01-IDX-0004;S-LVL02-IDX-0002;EBOPS 2010-S-10.2.1;10.2.1;EBOPS 2010;Services;S;Legal, accounting, management consulting, and public relations services
S-LVL01-IDX-0004;S-LVL02-IDX-0003;EBOPS 2010-S-10.2.2;10.2.2;EBOPS 2010;Services;S;Advertising, market research, and public opinion polling services
S-LVL01-IDX-0005;S-LVL02-IDX-0004;EBOPS 2010-S-10.3.1;10.3.1;EBOPS 2010;Services;S;Architectural, engineering, scientific, and other technical services
S-LVL01-IDX-0005;S-LVL02-IDX-0005;EBOPS 2010-S-10.3.2;10.3.2;EBOPS 2010;Services;S;Waste treatment and de-pollution, agricultural and mining services
S-LVL01-IDX-0005;S-LVL02-IDX-0006;EBOPS 2010-S-10.3.3;10.3.3;EBOPS 2010;Services;S;Operating leasing services
S-LVL01-IDX-0005;S-LVL02-IDX-0007;EBOPS 2010-S-10.3.4;10.3.4;EBOPS 2010;Services;S;Trade-related services
S-LVL01-IDX-0005;S-LVL02-IDX-0008;EBOPS 2010-S-10.3.5;10.3.5;EBOPS 2010;Services;S;Other business services n.i.e.
S-LVL01-IDX-0006;S-LVL02-IDX-0009;EBOPS 2010-S-11.1.1;11.1.1;EBOPS 2010;Services;S;Audio-visual services
S-LVL01-IDX-0006;S-LVL02-IDX-0010;EBOPS 2010-S-11.1.2;11.1.2;EBOPS 2010;Services;S;Artistic related services
S-LVL01-IDX-0007;S-LVL02-IDX-0011;EBOPS 2010-S-11.2.1;11.2.1;EBOPS 2010;Services;S;Health services
S-LVL01-IDX-0007;S-LVL02-IDX-0012;EBOPS 2010-S-11.2.2;11.2.2;EBOPS 2010;Services;S;Education services
S-LVL01-IDX-0007;S-LVL02-IDX-0013;EBOPS 2010-S-11.2.3;11.2.3;EBOPS 2010;Services;S;Heritage and recreational services
S-LVL01-IDX-0007;S-LVL02-IDX-0014;EBOPS 2010-S-11.2.4;11.2.4;EBOPS 2010;Services;S;Other personal services
S-LVL01-IDX-0011;S-LVL02-IDX-0015;EBOPS 2010-S-3.1.1;3.1.1;EBOPS 2010;Services;S;Passenger
S-LVL01-IDX-0011;S-LVL02-IDX-0016;EBOPS 2010-S-3.1.2;3.1.2;EBOPS 2010;Services;S;Freight
S-LVL01-IDX-0011;S-LVL02-IDX-0017;EBOPS 2010-S-3.1.3;3.1.3;EBOPS 2010;Services;S;Other
S-LVL01-IDX-0014;S-LVL02-IDX-0018;EBOPS 2010-S-3.2.1;3.2.1;EBOPS 2010;Services;S;Passenger
