pk;pk_l1;pk_l2;pk_l3;un_pk_l0;un_pk_l1;un_pk_l2;un_pk_l3;un_code_l1;un_code_l2;un_code_l3;classificationDesc;classificationType;typeCode;desc_l1;desc_l2;desc_l3
S-LVL01-IDX-0000;S-LVL01-IDX-0000;;;EBOPS 2010-S-#;EBOPS 2010-S-200;;;200;;;EBOPS 2010;Services;S;EBOPS 2010 Services;;
S-LVL01-IDX-0001;S-LVL01-IDX-0001;;;EBOPS 2010-S-1;EBOPS 2010-S-1.1;;;1.1;;;EBOPS 2010;Services;S;Goods for processing in reporting economy — Goods returned (credits), Goods received (debits);;
S-LVL01-IDX-0002;S-LVL01-IDX-0002;;;EBOPS 2010-S-1;EBOPS 2010-S-1.2;;;1.2;;;EBOPS 2010;Services;S;Goods for processing abroad — Goods sent (credits), Goods returned (debits) ;;
S-LVL01-IDX-0003-S-LVL02-IDX-0000-S-LVL03-IDX-0000;S-LVL01-IDX-0003;S-LVL02-IDX-0000;S-LVL03-IDX-0000;EBOPS 2010-S-10;EBOPS 2010-S-10.1;EBOPS 2010-S-10.1.1;EBOPS 2010-S-10.1.1.1;10.1;10.1.1;10.1.1.1;EBOPS 2010;Services;S;Research and development services;Work undertaken on a systematic basis to increase the stock of knowledge;Provision of customized and non-customized research and development services
S-LVL01-IDX-0003-S-LVL02-IDX-0000-S-LVL03-IDX-0001;S-LVL01-IDX-0003;S-LVL02-IDX-0000;S-LVL03-IDX-0001;EBOPS 2010-S-10;EBOPS 2010-S-10.1;EBOPS 2010-S-10.1.1;EBOPS 2010-S-10.1.1.2;10.1;10.1.1;10.1.1.2;EBOPS 2010;Services;S;Research and development services;Work undertaken on a systematic basis to increase the stock of knowledge;Sale of proprietary rights arising from research and development
S-LVL01-IDX-0003-S-LVL02-IDX-0000-S-LVL03-IDX-0002;S-LVL01-IDX-0003;S-LVL02-IDX-0000;S-LVL03-IDX-0002;EBOPS 2010-S-10;EBOPS 2010-S-10.1;EBOPS 2010-S-10.1.1;EBOPS 2010-S-10.1.1.2.1;10.1;10.1.1;10.1.1.2.1;EBOPS 2010;Services;S;Research and development services;Work undertaken on a systematic basis to increase the stock of knowledge;Patents
S-LVL01-IDX-0003-S-LVL02-IDX-0000-S-LVL03-IDX-0003;S-LVL01-IDX-0003;S-LVL02-IDX-0000;S-LVL03-IDX-0003;EBOPS 2010-S-10;EBOPS 2010-S-10.1;EBOPS 2010-S-10.1.1;EBOPS 2010-S-10.1.1.2.2;10.1;10.1.1;10.1.1.2.2;EBOPS 2010;Services;S;Research and development services;Work undertaken on a systematic basis to increase the stock of knowledge;Copyrights arising from research and development
S-LVL01-IDX-0003-S-LVL02-IDX-0000-S-LVL03-IDX-0004;S-LVL01-IDX-0003;S-LVL02-IDX-0000;S-LVL03-IDX-0004;EBOPS 2010-S-10;EBOPS 2010-S-10.1;EBOPS 2010-S-10.1.1;EBOPS 2010-S-10.1.1.2.3;10.1;10.1.1;10.1.1.2.3;EBOPS 2010;Services;S;Research and development services;Work undertaken on a systematic basis to increase the stock of knowledge;Industrial processes and designs
S-LVL01-IDX-0003-S-LVL02-IDX-0000-S-LVL03-IDX-0005;S-LVL01-IDX-0003;S-LVL02-IDX-0000;S-LVL03-IDX-0005;EBOPS 2010-S-10;EBOPS 2010-S-10.1;EBOPS 2010-S-10.1.1;EBOPS 2010-S-10.1.1.2.4;10.1;10.1.1;10.1.1.2.4;EBOPS 2010;Services;S;Research and development services;Work undertaken on a systematic basis to increase the stock of knowledge;Other
S-LVL01-IDX-0003-S-LVL02-IDX-0001;S-LVL01-IDX-0003;S-LVL02-IDX-0001;;EBOPS 2010-S-10;EBOPS 2010-S-10.1;EBOPS 2010-S-10.1.2;;10.1;10.1.2;;EBOPS 2010;Services;S;Research and development services;Other;
S-LVL01-IDX-0004-S-LVL02-IDX-0002-S-LVL03-IDX-0006;S-LVL01-IDX-0004;S-LVL02-IDX-0002;S-LVL03-IDX-0006;EBOPS 2010-S-10;EBOPS 2010-S-10.2;EBOPS 2010-S-10.2.1;EBOPS 2010-S-10.2.1.1;10.2;10.2.1;10.2.1.1;EBOPS 2010;Services;S;Professional and management consulting services;Legal, accounting, management consulting, and public relations services;Legal services
S-LVL01-IDX-0004-S-LVL02-IDX-0002-S-LVL03-IDX-0007;S-LVL01-IDX-0004;S-LVL02-IDX-0002;S-LVL03-IDX-0007;EBOPS 2010-S-10;EBOPS 2010-S-10.2;EBOPS 2010-S-10.2.1;EBOPS 2010-S-10.2.1.2;10.2;10.2.1;10.2.1.2;EBOPS 2010;Services;S;Professional and management consulting services;Legal, accounting, management consulting, and public relations services;Accounting, auditing, bookkeeping, and tax consulting services
S-LVL01-IDX-0004-S-LVL02-IDX-0002-S-LVL03-IDX-0008;S-LVL01-IDX-0004;S-LVL02-IDX-0002;S-LVL03-IDX-0008;EBOPS 2010-S-10;EBOPS 2010-S-10.2;EBOPS 2010-S-10.2.1;EBOPS 2010-S-10.2.1.3;10.2;10.2.1;10.2.1.3;EBOPS 2010;Services;S;Professional and management consulting services;Legal, accounting, management consulting, and public relations services;Business and management consulting and public relations services
