un_mot_code;mot_desc;updateMark;updateMark_TZ;mot_code
0;TOTAL modes of transport;2023-06-27 13:59:10;Eastern Standard Time;MOT-000
1000;Air;2023-06-27 13:59:10;Eastern Standard Time;MOT-001
2000;Water;2023-06-27 13:59:10;Eastern Standard Time;MOT-002
2100;Sea;2023-06-27 13:59:10;Eastern Standard Time;MOT-003
2200;Inland waterway;2023-06-27 13:59:10;Eastern Standard Time;MOT-004
2900;Water, not else classified;2023-06-27 13:59:10;Eastern Standard Time;MOT-005
3000;Land;2023-06-27 13:59:10;Eastern Standard Time;MOT-006
3100;Railway;2023-06-27 13:59:10;Eastern Standard Time;MOT-007
3200;Road;2023-06-27 13:59:10;Eastern Standard Time;MOT-008
3900;Land, not else classified;2023-06-27 13:59:10;Eastern Standard Time;MOT-009
9000;Not elsewhere classified;2023-06-27 13:59:10;Eastern Standard Time;MOT-010
9100;Pipelines and cables;2023-06-27 13:59:10;Eastern Standard Time;MOT-011
9110;Pipelines;2023-06-27 13:59:10;Eastern Standard Time;MOT-012
9120;Cables;2023-06-27 13:59:10;Eastern Standard Time;MOT-013
9190;Pipelines and cables, not else classified;2023-06-27 13:59:10;Eastern Standard Time;MOT-014
9200;Postal consignments, mail or courier shipment;2023-06-27 13:59:10;Eastern Standard Time;MOT-015
9300;Self propelled goods;2023-06-27 13:59:10;Eastern Standard Time;MOT-016
9900;Other;2023-06-27 13:59:10;Eastern Standard Time;MOT-017
